"Ticket ID","Subject","Full_Ticket_Text","Issue Type","Assigned Team","Severity"
1,"Cannot connect to new printer","I am trying to print a large document on the new color laser printer, but my computer cannot see it. I've tried rebooting my workstation. Error message is 'Printer Not Found'. Please help as I need these printed by end of day.","Hardware","Desktop Support","Medium"
2,"SQL Server performance degraded","The main production database is experiencing severe lag. Simple SELECT queries are taking over 30 seconds to return. This is affecting all customer-facing applications. Emergency attention required.","Database","Database Ops","Critical"
3,"Forgot my HR Portal password","I need to submit my time-off request, but I cannot remember my password for the HR portal (Workday). The 'Forgot Password' link is not sending an email to my inbox.","Account/Access","Security & Access","Low"
4,"VPN disconnects on a schedule","My VPN connection drops exactly every 30 minutes, which interrupts my remote work sessions. This has been happening since yesterday afternoon. Please investigate the network configuration.","Network","Networking","High"
5,"Excel crashing on save","When I try to save any Excel file, regardless of size, the application freezes and crashes. I have the latest version of Microsoft Office installed. I lost a few hours of work today because of this.","Software","Application Support","Medium"
6,"Monitor flickering constantly","The left monitor on my dual-screen setup flickers black every few minutes. I checked the cables and they seem secure. Can I get a replacement monitor or a technician to look at the port?","Hardware","Desktop Support","Low"
7,"Access denied to client folder","I am unable to access the 'Client_Alpha' shared drive. I had access last week, but now I get an 'Access Denied' error. I am a member of the 'Sales' group which requires this access.","Account/Access","Security & Access","Low"
8,"API response times too slow","Our internal microservice API calls are seeing response times upwards of 5 seconds. This is a critical production issue impacting service reliability. Check load balancer and server metrics.","Network","Networking","Critical"
9,"Corrupted table in backup","During a routine restore test, we discovered one table (`user_sessions`) in the latest backup is corrupted and cannot be read. Need to verify integrity of all other backups immediately.","Database","Database Ops","High"
10,"Adobe Creative Cloud won't update","The Adobe Creative Cloud desktop app is stuck in a loop trying to apply an update. It keeps asking me to restart, but the problem persists. I cannot use any of the design software.","Software","Application Support","Medium"
11,"Laptop power button loose","The power button on my Lenovo laptop is physically loose and sometimes doesn't register a press. I am concerned it might stop working entirely. Requesting a hardware replacement.","Hardware","Desktop Support","Low"
12,"New user onboarding access failure","New employee John Doe's account was created but he cannot log in to his email or any company application. User onboarding is blocked. Priority: High.","Account/Access","Security & Access","High"
13,"Intermittent internet drops on 5th floor","Several users on the 5th floor are reporting that their wired and wireless connections drop out randomly for 1-2 minutes every hour. This is disrupting calls.","Network","Networking","Medium"
14,"Slow query optimization needed","Query 'Get_Customer_Activity' runs extremely slowly due to inefficient join operations. Need a DBA to review the execution plan and add appropriate indices.","Database","Database Ops","Medium"
15,"Teams app mic not working","My microphone is completely silent when using Microsoft Teams, even though it works perfectly fine with Zoom and local recordings. I've checked Teams settings.","Software","Application Support","Low"
16,"External hard drive not recognized","My external USB hard drive is not showing up in File Explorer when I plug it into my docking station. I tried a different USB port with no change.","Hardware","Desktop Support","Low"
17,"Multi-factor authentication reset required","I got a new phone and need to migrate or reset my MFA settings for my corporate account. I am currently locked out of all services.","Account/Access","Security & Access","High"
18,"Core router failure in Data Center A","The primary router in DC A has gone offline. All traffic for half of our customers is affected. This is a level 1 emergency.","Network","Networking","Critical"
19,"Replication lag across regional databases","Data replication between the East Coast and West Coast database clusters is lagging by several hours. This is impacting reporting accuracy for executives.","Database","Database Ops","Critical"
20,"Word document formatting issues after conversion","I converted a PDF to a Word document, and all the tables and images are misaligned. Need assistance fixing the layout so it matches the original PDF.","Software","Application Support","Low"
21,"Keyboard sticky keys issue","Several keys (specifically 'E', 'R', and 'T') on my desktop keyboard are sticking when pressed. It's making typing difficult. Requesting a standard replacement keyboard.","Hardware","Desktop Support","Low"
22,"Need permission to install Python package","I am developing a script and need to install the 'requests' Python package, but the command is blocked by administrative restrictions. Can this be approved or installed for me?","Account/Access","Security & Access","Low"
23,"Website not loading in Chrome/Edge","Our company's public-facing website is completely inaccessible for me on all browsers. Other websites load fine. Could this be a local DNS caching issue?","Network","Networking","Medium"
24,"Rollback failed on deployment","The automatic rollback process failed after a problematic code deployment, leaving the production environment in an unstable state. Manual intervention is required now.","Database","Database Ops","High"
25,"Outlook search is non-functional","The search bar within the Outlook desktop application (Exchange account) does not return any results, even for emails I know exist. I've tried rebuilding the index with no success.","Software","Application Support","Medium"
26,"Docking station not charging laptop","My laptop is connected to the docking station, but the battery level is decreasing. The charging light on the dock is not on. I suspect a faulty power delivery issue with the dock.","Hardware","Desktop Support","Medium"
27,"Request for temporary admin rights","I need temporary local administrator rights on my machine for 2 hours to install a legacy application required for a specific client project. Please contact me before granting.","Account/Access","Security & Access","Low"
28,"DNS resolution failure for internal domains","Users in the London office cannot resolve internal hostnames like 'fileserver' or 'intranet'. External websites are fine. Possible DNS server issue.","Network","Networking","Critical"
29,"Excessive CPU load on reporting server","The server dedicated to running business intelligence reports is showing 100% CPU utilization, causing all report generation to fail or time out.","Database","Database Ops","High"
30,"Slack notifications not popping up","I am not receiving desktop notifications for new messages in Slack, even though my settings are configured correctly. I often miss urgent communications.","Software","Application Support","Low"
31,"Webcam showing inverted image","My integrated laptop webcam is showing an upside-down image in all conferencing applications. This happened after a recent Windows driver update.","Hardware","Desktop Support","Low"
32,"Unlock user account after multiple failed logins","User JSmith is locked out of his Active Directory account after failing to log in multiple times this morning. Please unlock the account and confirm with the user.","Account/Access","Security & Access","Low"
33,"New network segment inaccessible","After the new firewall rule deployment, the new 'IoT' network segment cannot route to the main internal network. All devices on that segment are isolated.","Network","Networking","High"
34,"Schema migration failed in QA environment","The latest schema change script failed to execute in the QA environment with a foreign key constraint violation. Need a DBA to inspect the script and the existing data structure.","Database","Database Ops","Medium"
35,"Licensing error for AutoCAD","When launching AutoCAD, I get a 'License Expired or Missing' error. I am an active license holder. Need the application license checked and reapplied.","Software","Application Support","Medium"
36,"Dead pixel on screen","There is one single, bright green dead pixel in the center of my screen which is extremely distracting. Requesting a monitor exchange.","Hardware","Desktop Support","Low"
37,"Elevated access request for new project","Requesting security group membership for the 'Project Phoenix' access group for my entire team (5 users). Needs Manager approval first.","Account/Access","Security & Access","Low"
38,"Spanning Tree Protocol loop detected","Network monitoring is showing a major STP loop between switches SWA01 and SWA03. This is causing network instability and broadcast storms. Immediate fix needed.","Network","Networking","Critical"
39,"Inaccurate data in daily report","The 'Daily Sales Volume' report is showing numbers that are clearly too low. Suspect an issue with the underlying ETL process or data transformation query.","Database","Database Ops","Medium"
40,"System slows down when running PowerPoint","My laptop becomes extremely sluggish when I launch and use PowerPoint, but it's fine with all other applications. I've disabled hardware acceleration.","Software","Application Support","Low"
41,"External mouse erratic movement","The cursor from my wireless mouse jumps around the screen randomly, even on a clean mousepad. I have replaced the batteries with new ones.","Hardware","Desktop Support","Low"
42,"Disabled account reactivation for returning employee","Former employee B. Johnson is returning for a 6-month contract. Need to re-enable her old AD and email account. Start date is next Monday.","Account/Access","Security & Access","Low"
43,"High latency to cloud resources","We are seeing 500ms+ latency when accessing our AWS S3 buckets from the main office. This should typically be under 50ms. Potential peering or BGP issue.","Network","Networking","High"
44,"Index fragmentation causing slow writes","Database write operations are becoming noticeably slower due to high index fragmentation on several large tables. Need a maintenance plan review and index rebuild.","Database","Database Ops","Medium"
45,"Chrome browser freezing intermittently","Chrome freezes for 5-10 seconds every time I open a new tab or click a link. It is not an issue in Firefox. I've cleared cache and cookies.","Software","Application Support","Low"
46,"Broken headphone jack on desktop","The audio jack on the front of my desktop tower is physically broken (the tip of the plug is stuck inside). I need to use headphones for calls.","Hardware","Desktop Support","Medium"
47,"Shared mailbox unable to send emails","The 'support@company.com' shared mailbox can receive emails, but users who have full access permissions cannot send new emails from it. Error is 'You do not have permission'.","Account/Access","Security & Access","Medium"
48,"VoIP phones losing registration","All desk phones in the marketing department have lost their SIP registration and show 'No Service'. Check PoE switch and VLAN configuration for that segment.","Network","Networking","High"
49,"Unauthorized data access detected","Security team alerts indicate a possible unauthorized read attempt on a restricted financial data table from an unknown IP address. Immediate investigation required.","Database","Database Ops","Critical"
50,"Salesforce integration failure","Our custom-built integration between Salesforce and the accounting system has failed to sync data for the past 4 hours. No new orders are being processed.","Software","Application Support","Critical"
51,"Faulty power supply unit (PSU)","My desktop PC will not power on at all. There are no lights and no fan spin when I press the power button. I suspect the power supply unit failed.","Hardware","Desktop Support","High"
52,"Mass password reset for compromised accounts","A list of 50 employee credentials was found on the dark web. We need to force a mass, immediate password reset for all affected accounts.","Account/Access","Security & Access","Critical"
53,"Subnet mask misconfiguration","I believe the subnet mask on the new server farm has been incorrectly set to /25 instead of /24, causing communication issues with the default gateway.","Network","Networking","Medium"
54,"Deadlock contention in high-volume process","A critical stored procedure for processing transactions is frequently hitting deadlocks, causing rollbacks and data loss for a fraction of users. Must be resolved immediately.","Database","Database Ops","Critical"
55,"Issue with Adobe Acrobat text selection","In Adobe Acrobat Pro, I can no longer select text or use the highlight tool. It works fine in the Reader version. Possible software corruption.","Software","Application Support","Low"
56,"Scratched laptop screen replacement","My laptop screen has a deep scratch near the top right corner. It is a distraction during work. Requesting a screen replacement.","Hardware","Desktop Support","Medium"
57,"Guest Wi-Fi captive portal broken","Visitors and guests cannot access the guest Wi-Fi because the captive portal sign-in page fails to load after connecting to the network.","Network","Networking","Low"
58,"External user access expired","A temporary contractor's access to the codebase repository (GitHub) has expired, but they require a 2-week extension to finish a task.","Account/Access","Security & Access","Medium"
59,"Stale statistics affecting query plan","The query optimizer is selecting a very inefficient plan for a high-traffic query, likely due to stale table statistics. Need to manually update stats.","Database","Database Ops","Low"
60,"Visual Studio Code not launching","Visual Studio Code crashes immediately upon launch. It was working yesterday. I tried reinstalling it, but the issue persists.","Software","Application Support","Medium"
61,"Broken laptop hinge","The hinge on my company-issued laptop is cracked and loose, making it difficult to open and close the lid safely. Afraid the wires will tear.","Hardware","Desktop Support","Medium"
62,"Request to delete a shared resource","I need the 'Legacy_Finance_Reports' shared drive folder permanently deleted as it contains outdated and sensitive information. Confirmed with manager.","Account/Access","Security & Access","Low"
63,"DHCP server scope exhausted","The DHCP server for the main office is reporting 100% address utilization. No new devices can connect to the network. Need to expand the scope immediately.","Network","Networking","High"
64,"Table locked by unknown process","The 'Inventory' table is currently locked, preventing all write operations. We cannot process shipments. Need to identify and kill the locking session.","Database","Database Ops","High"
65,"Out of memory error in custom application","Our proprietary Java application throws an 'Out of Memory' error when processing large datasets. Need to investigate JVM heap size configuration.","Software","Application Support","High"
66,"Missing cable from monitor box","I received a new monitor, but the box did not contain the HDMI cable as listed on the packing slip. I only have a VGA cable. Requesting an HDMI cable.","Hardware","Desktop Support","Low"
67,"Manager approval pending for 3 days","My request for access to the SAP system has been stuck with my manager for approval for 3 days. Can someone escalate the approval notification to their inbox?","Account/Access","Security & Access","Low"
68,"High packet loss on WAN link","Network monitoring is reporting 25% packet loss on the primary WAN link connecting HQ to the secondary office. All cross-site services are degraded.","Network","Networking","Critical"
69,"Database server restart loop","The secondary database replica server keeps restarting unexpectedly every 10-15 minutes, which is preventing failover capability. Check logs for kernel or service failure.","Database","Database Ops","Critical"
70,"Malware detection notification","I received a notification from our endpoint protection software about a quarantined threat on my local drive. Please check and confirm the system is clean.","Software","Application Support","High"
71,"Projector bulb burnout","The bulb in the main conference room projector (Room A) has burned out. The screen is completely dark. We have a presentation scheduled tomorrow.","Hardware","Desktop Support","Medium"
72,"User account not showing in Global Address List","A newly created user's account is not appearing in the company's Global Address List (GAL) in Outlook. This prevents others from sending them email easily.","Account/Access","Security & Access","Low"
73,"Fiber line cut between buildings","Physical fiber optic line appears to have been cut between Building 1 and Building 2, according to the security camera footage. All connectivity between the two is lost.","Network","Networking","Critical"
74,"Permission denied writing to log file","The web application is throwing 500 errors because the application pool user does not have write permissions to the main log directory on the server.","Database","Database Ops","Medium"
75,"Printing colors are inaccurate","When I print documents, the red color appears pink, and blue is slightly purple. I've tried cleaning the print heads, but it didn't fix the color calibration.","Hardware","Desktop Support","Low"
76,"Browser extension installation blocked","I need to install the 'LastPass' browser extension, but the installation is blocked by GPO. Requesting an exception for this security-approved tool.","Software","Application Support","Low"
77,"Temporary access to vendor SFTP","Need to grant SFTP access to external vendor 'SecureTech' for 48 hours to upload final files for project completion. Need to revoke access afterwards.","Account/Access","Security & Access","Medium"
78,"Inconsistent Wi-Fi signal in cafeteria","The Wi-Fi signal strength in the cafeteria is very weak and unstable. Users frequently disconnect. Check access point coverage and power levels.","Network","Networking","Medium"
79,"Disk space low on file share","The primary file share server (FS-01) is down to 5% free disk space. This is blocking all new file saves. Need immediate disk cleanup or volume expansion.","Database","Database Ops","High"
80,"System reboots randomly","My desktop computer reboots itself without any warning, usually while I am in the middle of a meeting or working in a large document. Suspect RAM or heat issue.","Hardware","Desktop Support","High"
81,"Microsoft Publisher will not open files","Any file I try to open in Microsoft Publisher gives a generic 'File not supported' error. I can create new files but cannot open existing ones.","Software","Application Support","Low"
82,"Privileged access audit required","We need a full audit report of all current users who possess 'db_owner' privileges on the production database for compliance purposes.","Account/Access","Security & Access","Medium"
83,"High number of connection pool timeouts","The web application's connection pool to the database is consistently hitting timeout limits during peak hours. This causes user sessions to fail.","Database","Database Ops","Medium"
84,"PoE switch failure on 2nd floor","The main Power over Ethernet (PoE) switch serving the desk phones and access points on the 2nd floor is completely unresponsive. All network devices are down.","Network","Networking","Critical"
85,"Laptop screen cracked","I accidentally dropped my laptop and the screen is severely cracked and unusable. I need an urgent replacement device to continue working.","Hardware","Desktop Support","Critical"
86,"Adobe Photoshop not launching","When I click the icon for Photoshop, nothing happens. No error message, no splash screen. I need it for an urgent marketing deliverable today.","Software","Application Support","Medium"
87,"Account suspension due to inactivity","My account has been automatically suspended due to 90 days of inactivity. I have now returned and need it reactivated.","Account/Access","Security & Access","Low"
88,"Slow file transfer speeds across network","Transferring files from the shared drive to my local computer is extremely slow (under 1MB/s). All other network traffic seems fine.","Network","Networking","Low"
89,"Log file growth exceeding disk space","The main database transaction log file (LDF) is growing excessively fast and will consume all remaining disk space within the next hour. Need an urgent log shrink operation.","Database","Database Ops","Critical"
90,"External speaker static noise","My external speakers emit a loud static/hissing noise whenever any audio is played, even at low volumes. I tried plugging them into a different outlet.","Hardware","Desktop Support","Low"
91,"SharePoint site collection permissions issue","A specific SharePoint Online site collection is giving 'Restricted Access' to all members of a security group that should have full control.","Account/Access","Security & Access","High"
92,"Exchange queue stuck on outbound messages","The Exchange mail queue is building up with thousands of outbound emails and none are being delivered. Suspected external connectivity or relay issue.","Network","Networking","High"
93,"System clock keeps resetting","The system clock on my desktop reverts to a date in 2018 every time I reboot the machine. This breaks SSL/TLS connections to websites. Likely a CMOS battery issue.","Hardware","Desktop Support","Medium"
94,"New hire access group creation","Need to create a new security group 'New_Hires_Q4' and add 15 users to it for initial access provisioning. Requesting assistance with the PowerShell script.","Account/Access","Security & Access","Low"
95,"Missing primary key on table","One of the core application tables (`invoices`) is missing its primary key, which is causing slow lookups and is a major data integrity violation.","Database","Database Ops","High"
96,"PDF editor corrupting files on save","When I edit a PDF document and save it in the Nitro PDF application, the resulting file is corrupted and unreadable. I need a fix or a different editor.","Software","Application Support","Low"
97,"Server room air conditioning failure","The HVAC unit in Server Room B has failed. Temperature is rapidly rising (already 95°F). Emergency procedure required to prevent hardware damage.","Hardware","Desktop Support","Critical"
98,"User requires role-based access review","User T. Jones is requesting access to a sensitive system, but their current role does not justify it. A full review of their job duties is needed before granting access.","Account/Access","Security & Access","Medium"
99,"Unusually high inbound network traffic","Network monitoring shows an abnormal spike in inbound traffic (10x normal). Investigating for potential DDoS or network intrusion. This is a severe threat.","Network","Networking","Critical"
100,"Unable to install application due to missing dependency","Trying to install the latest version of MATLAB, but the installation fails with a 'missing .dll file' dependency error. The installer package seems incomplete.","Software","Application Support","Medium"
101,"External Monitor Not Detected","My laptop is connected to the docking station, but the external display in port 1 is not being recognized by the operating system. I have tried swapping the HDMI cable.","Hardware","Desktop Support","Medium"
102,"Server backup job failed overnight","The nightly backup job for the 'Finance' file server failed with an error code 41. The server's disk space is sufficient, and the target storage is available.","Database","Database Ops","Medium"
103,"User account locked out","User B. Martin is locked out of his Active Directory account. He attempted to log in multiple times unsuccessfully. Please unlock his account immediately.","Account/Access","Security & Access","Low"
104,"Intermittent VoIP audio quality issues","Users across multiple departments are reporting occasional choppy and robotic audio during VoIP calls. This seems to happen randomly throughout the day.","Network","Networking","Medium"
105,"Salesforce plugin causing browser crashes","The new third-party plugin for Salesforce, installed yesterday, causes Chrome to crash instantly when loading the dashboard page. This is affecting 5 sales reps.","Software","Application Support","High"
106,"Headset microphone stopped working","The microphone on my USB headset is no longer picking up sound. The system shows it as the default input device, and I have checked the mute switch.","Hardware","Desktop Support","Low"
107,"Request for Project Titan access group","I need to be added to the 'Project_Titan_Dev' security group to access the required source code repository. Manager approval is attached.","Account/Access","Security & Access","Low"
108,"High CPU usage on web server","One of our primary web application servers (Web-03) is showing sustained 95% CPU usage. Performance is severely degraded, impacting external users.","Database","Database Ops","High"
109,"Local files not syncing to OneDrive","My files in the local OneDrive folder are not syncing to the cloud. The sync icon shows a perpetual 'syncing' status. I have tried pausing and resuming sync.","Software","Application Support","Medium"
110,"Power strip sparking and smelling burnt","The power strip under my desk made a loud pop and is now emitting a burning smell. I have unplugged all devices. This needs urgent replacement for safety.","Hardware","Desktop Support","High"
111,"Firewall logs showing excessive blocked traffic","Security monitoring has flagged an unusual volume of external IP addresses being blocked by the main corporate firewall, potentially indicating a probe attempt.","Network","Networking","Critical"
112,"Expired SSL certificate on Intranet","The SSL certificate for our internal Intranet site expired an hour ago. Users are now receiving security warnings when trying to access documentation.","Network","Networking","High"
113,"Table column needs modification","Need to alter the data type of the 'ProductCode' column in the `Products` table from VARCHAR(50) to VARCHAR(100) to support new product codes.","Database","Database Ops","Medium"
114,"Cannot log in to VPN - credentials rejected","My username and password work fine for all other systems, but the VPN client rejects my credentials with an 'Invalid User/Password' error.","Account/Access","Security & Access","Medium"
115,"Mouse scroll wheel broken","The scroll wheel on my wireless mouse spins freely without moving the screen up or down. Need a replacement mouse.","Hardware","Desktop Support","Low"
116,"Jira instance throwing 500 error","The company's internal Jira server is completely inaccessible and displaying a generic 500 server error page. Development work is halted.","Software","Application Support","Critical"
117,"Shared drive access needed for new project","I need read/write access to the `Marketing_2024` shared folder for my new role as Marketing Coordinator. My old access was revoked.","Account/Access","Security & Access","Low"
118,"DHCP pool nearing exhaustion on remote site","The IP address pool for the DHCP server at the Dallas branch office is nearly 90% full. We expect more new hires soon and need to expand the scope.","Network","Networking","Medium"
119,"Outdated software on critical server","Security scan flagged the 'Reporting Server' as running an outdated version of Apache Tomcat with known vulnerabilities. Requires immediate upgrade/patching.","Software","Application Support","High"
120,"Desktop PC is making loud grinding noise","My desktop computer is making a loud, continuous grinding or rattling sound, likely from a failing fan or hard drive. Concerned about imminent failure.","Hardware","Desktop Support","Medium"
121,"New user needs email alias setup","New employee J. Doe requires an email alias, `jdoe@company.com`, in addition to his primary address. Please configure in Exchange.","Account/Access","Security & Access","Low"
122,"Primary database offline","The primary production database cluster is completely offline. All customer-facing services are down. This is an immediate, critical outage.","Database","Database Ops","Critical"
123,"Temporary firewall exception for vendor","Need a temporary (24-hour) firewall exception to allow outbound traffic on port 22 to vendor IP 203.0.113.4 for a system migration task.","Network","Networking","Medium"
124,"Microsoft Word printing blank pages","When attempting to print a document from Microsoft Word, the printer produces blank pages, even though the print preview looks correct. Printing from PDF works fine.","Software","Application Support","Low"
125,"Broken cable on server rack","A patch cable connected to the main distribution switch in Rack A appears physically severed. Need a technician to replace and verify connectivity.","Network","Networking","Medium"
